HospitalName,Address,District,,
CCC - Siruvanthadu,"Siruvanthadu health care center,Siruvanthadu health care center,siruvanthadu,Villupuram",Villupuram,,
" CCC - St. Ann's college, Tindivanam",,Villupuram,,
"CCC - St. Patrick's school, v.salai, vikravandi",,Villupuram,,
CHC - TINDIVANAM GH,"Hospital road,Tindivanam,Tindivanam",Villupuram,,
CHC - VALAVANUR GH,"Valavanur,Villupuram",Villupuram,,
 CHC - VANUR GH,"Main road,VANUR taluk,VANUR,Vanur",Villupuram,,
CHC - VIKRAVANDI GH,"Vikkravandi,Vikkiravandi",Villupuram,,
CHC - VILLUPURAM GH,"Trichy trunk road, Near signal,",Villupuram,,
CCC - VRS Engineering college,,Villupuram,,
CCC - Valathi,"Valathy health care center,Valathy health care center,valathy,Gingee",Villupuram,,
"CHC - 24/7 Poison and Emergency care Hospital,Tirupattur","16c hanumanda uba segar pettai ,Tirupattur ,Behind ponnusamy ITI,Tirupattur",Vellore,,
"CHO - CMCH, Vellore","Ida Scudder Road,Vellore,Vellore",Vellore,,
"CHC - ESI, Vellore","GPH ROAD ,Vellore,Vellore",Vellore,,
"CHC - GH, Anaicut","GH Anaicut,Anaicut,Anaicut",Vellore,,
"CHC - GH, Gudiyatham","GH GUDIYATHAM,near busstand,gudiyatham,Gudiyatham",Vellore,,
"CHC - GV Annai Hospital, Villapakkam","opposite to Arcot sri mahalakshmi women's nursing college, Arcot-Arni highway road, villapakkam- 632521, ranipet district,villapakkam, ARCOT,villapakkam, ARCOT,Vellore",Vellore,,
"CHO - GVMCH, Vellore","GVMCH .  Vellore,Vellore",Vellore,,
"CHC - Govt Pentland Hospital , Vellore","GPH ROAD, ,Near Raja Theatre ,KOSAPET,Vellore",Vellore,,
"CHO - Indira Super Speciality Hospital, Katpadi","NO,320/3A1 CHITTOOR MAIN ROAD,,NO,320/3A1 CHITTOOR MAIN ROAD,,GANDHI NAGAR,Katpadi",Vellore,,
 CCC - Kallapadi,"PHC, KALLAPADI,Gudiyatham",Vellore,,
CCC - Kaniyambadi,"PHC, KANIYAMBADI,AMIRTHI ROAD ,KANIYAMBADI,Vellore",Vellore,,
" CHC - Manisundaram Medical Mission, Sathuvacheri",,Vellore,,
CHO - Manisundharam hospital,"288, South Avenue Road,,Phase-I,Vallalar, Sathuvachari,Vellore",Vellore,,
 CCC - Melpatti,"PHC, MELPATTI,Pernambut",Vellore,,
"CCC - Narayani Nursing College, Vellore","Sripuram,Thirumalaikodi, Vellore,Vellore",Vellore,,
CHO - Naruvi Hospitals Vellore,"NARUVI HOSPITALS, A UNIT OF M/S. SANCO FOUNDATION, NO :72/1B2, COLLECTOR OFFICE ROAD, CHENNAI - BANGALORE NATIONAL HIGHWAY (NH48), VELLORE 632004,Vellore",Vellore,,
 CCC - Odugathur,"PHC, ODUGATHUR,Anaicut",Vellore,,
"CCC - Raghavendra polytechnic, Gudiyatham","SH 127, Netteri, Gudiyatham,Gudiyatham",Vellore,,
"CCC - Rajagopal Polytechnic, Vellore","SH 59, Gandhi Nagar, Gudiyatham,GUdiyatham,Gudiyatham,Gudiyatham",Vellore,,
" CHC - Schieffelin Institute of Health Research & Leprosy Centre ,Centre,Karigiri","SLRS POST,KARIGIRI,Katpadi",Vellore,,
"CHO - Sri Narayani Hospital, Vellore","Azad Rd, Thirumalaikodi, Vellore, Tamil Nadu 632055,Vellore",Vellore,,
"CCC - Thanthai Periyar Engineering College, Vellore","Thanthai Periyar Engineering College, Bagayam, Vellore,Bagayam,Bagayam,Vellore",Vellore,,
CCC - Thiruvalam,"PHC, Katpadi,Katpadi",Vellore,,
 CCC - Ussoor,"PHC, Ussoor,Vellore",Vellore,,
"CCC - V.I.T, Vellore","VIT, Vellore Campus, Tiruvalam Rd, Katpadi, Vellore,Katpadi",Vellore,,
 CCC - Vaduganthangal,"PHC, Vaduganthangal,K V Kuppam",Vellore,,
CCC - AKKUR UG PHC,"Upgraded primary Health center ,Akkur,Cheyyar",Tiruvannamalai,,
"CCC - Anna University , Thatchur",,Tiruvannamalai,,
CHC - Arani GH,"GH road,,Periyar Nagar,Arani,Arni",Tiruvannamalai,,
CHC - Arunai medical college Hospital ,"Velu nagar, then mathur,Tiruvannamalai,Thiruvannamalai,Tiruvannamalai",Tiruvannamalai,,
CCC - Chengam GH,"Tiruvannamalai main road,Chengam,Chengam",Tiruvannamalai,,
CCC - Cheyyar Polytechnic College,"No 135,Government polytechnic college hostel arcot salai,Cheyyar,Cheyyar",Tiruvannamalai,,
CCC - DSU AYUSH ANNEXURE 1,"AYUSH ANNEXURE 1, Chengam Road, Tiruvannamalai,Tiruvannamalai",Tiruvannamalai,,
 CCC - DSU BUILDING (AYUSH),"Thiruvannamalai,Tiruvannamalai",Tiruvannamalai,,
"CHC - District Headquatres Hospital, Cheyyar",,Tiruvannamalai,,
"CCC - Government Arts College, Tiruvannamalai","Government arts college,Tiruvannamalai",Tiruvannamalai,,
CCC - Government Hospital Chetpet,"Polur road Chetpet,Chetpet,CHETPET",Tiruvannamalai,,
CCC - Government Tiruvannamalai Hospital,,Tiruvannamalai,,
CHO - Government Tiruvannamalai Medical College Hospital,"GOVT.THIRUVANNAMALAI MEDICAL COLLEGE & HOSPITAL, NEAR COLLECTOR OFFICE ,VENGIKKAL (VP),THIRUVANNAMALAI-606604,GOVT.THIRUVANNAMALAI MEDICAL COLLEGE & HOSPITAL,VENGIKKAL,Tiruvannamalai",Tiruvannamalai,,
CHC - Government hospital polur,"Government hospital polur,Athimoor road,Polur",Tiruvannamalai,,
 CHO - INDIRA SUPER SPECIALITY HOSPITAL ,"NO,320/3A1 CHITTOOR MAIN ROAD,,NO,320/3A1 CHITTOOR MAIN ROAD,,GANDHI NAGAR,Katpadi",Tiruvannamalai,,
CCC - KALASAPAKKAM GH,"Eswaran koil back side,Kalasapakkam",Tiruvannamalai,,
 CCC - Navalpakkam,"Navalpakkam.block phc,Cheyyar",Tiruvannamalai,,
CCC - Peranamallur UG PHC,,Tiruvannamalai,,
"CHC - Ramana Maharishi Rangammal Hospital, Athiyandal, Tiruvannamalai.","SHIVA NAGAR ATHIYANDAL VILLAGE, TIRUVANNAMALAI TALUK, TIRUVANNAMALAI DISTRICT,ATHIYANDAL VILLAGE,Athiyandal,Tiruvannamalai",Tiruvannamalai,,
CCC - SKP SPECIAL QUARANTINE,"SKP engineering college,606611,Chinnakangeyanur,Tiruvannamalai",Tiruvannamalai,,
CCC - ST THOMAS HOSPITAL CCC,"ST THOMAS GERMAN  HOSPITAL, Chetpet , Tiruvannamalai,CHETPET",Tiruvannamalai,,
CHC - Sugasthala Hospital ,,Tiruvannamalai,,
CCC - Thandrampattu,"Chengam main Road,Thandrampet,Thandrampet",Tiruvannamalai,,
CCC - Thanipadi GH,"SALEM MAIN ROAD,THANIPADI,Thandrampet",Tiruvannamalai,,
CCC - Vandavasi GH,"Melmaruvathur main Road,pin-604408,Vandavasi,Vandavasi",Tiruvannamalai,,
