"District" "HospitalName"
"Tiruvallur" "CHO - Sugam Hospital"
"Tiruvallur" " CHO - Suman hospital"
"Tiruvallur" " CCC - Thiruvelangadu"
"Tiruvallur" "CHC - Tiruttani GH"
"Tiruvallur" "CHC - Uthukottai GH"
"Tiruvallur" " CCC - Valliyur"
"Tiruvallur" "CCC - Vel tech college"
"Tiruppur" " CCC - AKARAM HOSPITAL"
"Tiruppur" " CHC - Akaram Hospital, Thennampalayam Extension"
"Tiruppur" " CHC - Aresta Medical Center"
"Tiruppur" " CHO - Ashwath Hospital, Vellakovil"
"Tiruppur" "CHC - Avinashi GH"
"Tiruppur" "CHC - Bala Ortho Hospital"
"Tiruppur" "CCC - CHIKKANNA COLL OF ARTS AND SCIENCE"
"Tiruppur" "CHC - CNS HOSPITALS, ANAIPUDUR, PALANGARAI, AVINASHI, TIRUPUR"
"Tiruppur" " CHC - Chandar Nursing Home, Gandhi Nagar, Tirupur"
"Tiruppur" " CCC - Cheyur"
"Tiruppur" "CHC - Dharapuram GH"
"Tiruppur" " CCC - Erisinampatti"
"Tiruppur" "CCC - GOVT ARTS COLLEGE, UDUMALPET"
"Tiruppur" "CCC - GOVT. ARTS COLLEGE, PALLADAM"
"Tiruppur" "CCC - GOVT. ITI DHARAPURAM"
"Tiruppur" " CCC - Gudimangalam"
"Tiruppur" "CCC - Indian Hospital,Udumalpet Tiruppur TN."
"Tiruppur" "CCC - Jaivabhai school"
"Tiruppur" "CHC - Jallipatti GH"
"Tiruppur" "CHC - Kangeyam GH"
"Tiruppur" "CHC - Karadivavi GH"
"Tiruppur" "CHC - Kongu Heart Centre"
"Tiruppur" " CHC - Kongu Medical Center, Kangayam"
"Tiruppur" " CCC - Kumaralingam"
"Tiruppur" "CCC - Kumaran College For Women CCC, Tiruppur"
"Tiruppur" " CCC - Kunnathur"
"Tiruppur" "CHO - L.G. Medical Centre"
"Tiruppur" "CCC - MAHARAJA ENGINEERING COLLEGE, AVINASHI"
"Tiruppur" "CHC - Madathukulam GH"
"Tiruppur" "CHO - Malarpriya Hospital"
"Tiruppur" " CCC - Moolanur"
"Tiruppur" " CCC - Nathakadaiyur"
"Tiruppur" "CHO - OMS hospital"
"Tiruppur" "CCC - PALANIAMMAL HR.SEC.SCHOOL"
"Tiruppur" "CHC - Palladam GH"
"Tiruppur" " CCC - Perumanallur"
"Tiruppur" " CCC - Pongalur"
"Tiruppur" " CCC - Ponnapuram"
"Tiruppur" "CHC - R.R. Medical Centre, Cheyur"
"Tiruppur" " CHC - Rams Multi Speciality Centre, Avinashi Road"
"Tiruppur" " CHC - Rams Multispeciality Centre, Tirupur TN."
"Tiruppur" "CHC - Revathi Medical Centre, Tirupur TN."
"Tiruppur" " CHC - S V Clinic, Palladam"
"Tiruppur" "CHO - SREE SARAN MEDICAL CENTER"
"Tiruppur" " CCC - ST JOSEPH COLL SIDDHA CCC"
