"importDate" "District" "No_of_Hospitals" "Normal_Bed_Vacant" "Normal_Bed_Total" "O2_Bed_Vacant" "O2_Bed_Total" "ICU_Bed_Vacant" "ICU_Bed_Total" "All_Bed_Vacant" "All_Bed_Total" "Normal_Bed_Occupancy" "O2_Bed_Occupancy" "ICU_Bed_Occupancy" "All_Bed_Occupancy"
2021-05-25 "Sivagangai" 37 411 983 339 970 27 174 777 2127 0.581892166836216 0.650515463917526 0.844827586206897 0.634696755994358
2021-05-25 "Tenkasi" 25 583 1229 39 242 5 66 627 1517 0.525630593978845 0.838842975206612 0.924242424242424 0.586684245220831
2021-05-25 "Thanjavur" 68 1510 3343 101 1099 5 440 1616 4882 0.54830990128627 0.908098271155596 0.988636363636364 0.668988119623105
2021-05-25 "Theni" 24 567 1661 18 625 5 66 590 2160 0.658639373871162 0.9712 0.924242424242424 0.726851851851852
2021-05-25 "Thiruchirappalli" 109 1127 3348 67 1887 11 458 1205 5659 0.663381123058542 0.964493905670376 0.975982532751092 0.787064852447429
2021-05-25 "Thirupathur" 31 1580 3053 0 282 1 47 1581 3358 0.482476252866033 1 0.978723404255319 0.529184038117927
2021-05-25 "Thiruvarur" 23 609 1455 48 466 6 157 663 2078 0.581443298969072 0.896995708154506 0.961783439490446 0.680943214629451
2021-05-25 "Thoothukudi" 46 934 1590 211 921 27 168 1172 2679 0.412578616352201 0.770901194353963 0.839285714285714 0.562523329600597
2021-05-25 "Tirunelveli" 55 1327 2081 52 932 57 330 1436 3304 0.36232580490149 0.944206008583691 0.827272727272727 0.565375302663438
2021-05-25 "Tiruppur" 67 1000 2165 0 968 0 210 1000 3333 0.53810623556582 1 1 0.6999699969997
2021-05-25 "Tiruvallur" 52 1458 2557 92 1224 2 261 1552 4042 0.429800547516621 0.92483660130719 0.992337164750958 0.616031667491341
2021-05-25 "Tiruvannamalai" 36 601 1829 62 884 0 201 663 2914 0.671405139420448 0.929864253393665 1 0.772477693891558
2021-05-25 "Vellore" 27 2663 3195 10 1686 0 374 2673 5255 0.166510172143975 0.994068801897983 1 0.491341579448145
2021-05-25 "Villupuram" 33 961 1620 6 582 0 103 967 2305 0.40679012345679 0.989690721649485 1 0.580477223427332
2021-05-25 "Virudhunagar" 45 972 2024 31 549 6 112 1009 2685 0.519762845849802 0.943533697632058 0.946428571428571 0.624208566108007
